Top 10 with avg 250 votes per episode,,,Top 10 with more than 1000 votes total,,,Top 10 most votes,,,top 10 most votes per episode,
South of Sunset 1993,9.40,,Planet Earth 2006,9.15,,The Simpsons 1989,225868,,Sherlock 2010,4080.571429
Planet Earth 2006,9.15,,Band of Brothers 2001,9.09,,Lost 2004,190297,,Game of Thrones 2011,2642.85
Band of Brothers 2001,9.09,,Fawlty Towers 1975,8.87,,South Park 1997,171194,,Masters of Horror 2005,2176.153846
Anything But Love 1989,8.90,,Absolutely Fabulous 1992,8.86,,The X Files 1993,164646,,The Walking Dead 2010,2002.481481
Fawlty Towers 1975,8.87,,Saving Grace 2007,8.82,,Supernatural 2005,145344,,Dekalog 1988,1710.7
Game of Thrones 2011,8.81,,Game of Thrones 2011,8.81,,House M.D. 2004,135352,,Lost 2004,1626.470085
Breaking Bad 2008,8.81,,Breaking Bad 2008,8.81,,Friends 1994,129262,,Breaking Bad 2008,1393.814815
Firefly 2002,8.76,,Oz 1997,8.77,,How I Met Your Mother 2005,127172,,Firefly 2002,1372.071429
The Wire 2002,8.76,,Firefly 2002,8.76,,Doctor Who 2005,110837,,Spartacus: Gods of the Arena 2011,1317.666667
Freaks and Geeks 1999,8.76,,The Wire 2002,8.76,,CSI: Crime Scene Investigation 2000,107255,,Doctor Who 2005,1245.359551
,,,,,,,,,,
Bottom 10 with avg 250 votes per episode,,,Bottom 10 with more than 1000 votes total,,,,,,,
Ben Hur 2010,5.70,,House of Payne 2006,1.26,,,,,,
Beck 1997,5.92,,Renegade 1992,2.40,,,,,,
Wallander 2005,5.97,,The Simple Life 2003,2.69,,,,,,
Fear Itself 2008,5.97,,MADtv 1995,3.81,,,,,,
Masters of Horror 2005,6.14,,Witchblade 2001,4.11,,,,,,
Veronica Mars 2004,6.34,,Rosamunde Pilcher 1993,4.36,,,,,,
Rags to Riches 1987,6.40,,The Tonight Show with Jay Leno 1992,4.38,,,,,,
Knight Rider 2008,6.66,,American Idol: The Search for a Superstar 2002,4.45,,,,,,
Stand by Your Man 1992,6.80,,Dancing with the Stars 2005,4.53,,,,,,
The Shield 2002,7.00,,Baywatch 1989,4.78,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Top 10 with 1 season,,,Most consistent shows >1000 votes,Diff,,Least consistent shows >1000 votes,Diff,,,
Planet Earth,9.15,,Planet Earth,0.1,9.15,Jimmy Kimmel Live!,8.8,4.85,,
Band of Brothers,9.09,,Black Mirror,0.2,7.93,The Tonight Show with Jay Leno,8.8,4.38,,
Firefly,8.76,,Murder Rooms: Mysteries of the Real Sherlock Holmes,0.3,7.88,ABC Afterschool Specials,8.6,5.82,,
Freaks and Geeks,8.76,,Police Squad!,0.3,8.20,SpongeBob SquarePants,8,7.28,,
Spartacus: Gods of the Arena,8.67,,Taken,0.5,7.62,Disneyland,7.9,7.18,,
Mr. Bean,8.58,,The Hollow Crown,0.5,8.13,Horizon,7.7,7.53,,
Wonderfalls,8.45,,Band of Brothers,0.5,9.09,Big Time Rush,7.7,4.98,,
My So-Called Life,8.43,,Day Break,0.6,7.77,Hawaii Five-O (1968),7.7,6.89,,
Shin seiki evangerion,8.42,,Forbrydelsen,0.6,7.73,Video on Trial,7.6,6.62,,
Generation Kill,8.41,,Generation Kill,0.6,8.41,Screen Two,7.6,6.78,,
Terriers,8.35,,Arrow,0.7,8.13,Leyla ile Mecnun,7.5,7.98,,
,,,Outsourced,0.7,6.91,American Playhouse,7.4,6.77,,
,,,Mr. Bean,0.7,8.58,Route 66,7.3,7.26,,
,,,,,,Touched by an Angel,7.2,6.25,,
Bottom 10 with >5 seasons,,,,,,,,,,
House of Payne,1.26,,,,,,,,,
MADtv,3.81,,,,,,,,,
The Tonight Show with Jay Leno,4.38,,,,,,,,,
American Idol: The Search for a Superstar,4.45,,,,,,,,,
Dancing with the Stars,4.53,,,,,,,,,
Baywatch,4.78,,,,,,,,,
Jimmy Kimmel Live!,4.85,,,,,,,,,
"Walker, Texas Ranger",4.91,,,,,,,,,
7th Heaven,5.32,,,,,,,,,
Big Brother,5.33,,,,,,,,,
